45861448003001620GH PNWWLA 0610016200087393400223100006ALOHA SHOYU TERIYAKI SAUCE    ALOHA TERIYAKI SC    24 OZ   24.00OZ02       1000182902017122300024302017112520171229000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000NPN 3986305460054608       NN20171209 N00006000182900002430201711252017122900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100005790+47400T2017111120171229000000000000000000000000000000000+00000000000000N    2SF                 1324R00000000000+000001320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0008739340022310001220000310093000630009100000000000000579  X
45861448003001630GH PNWWLA 0610016300087393400218700006ALOHA SHOYU BARBECUE SAUCE    ALOHA BARBC SAUCE    24 OZ   24.00OZ02       1000180802017122300024302017112520171229000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000NPN 3982505460054614       NN20171209 N00006000180800002430201711252017122900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100005790+48000T2017111120171229000000000000000000000000000000000+00000000000000N    2SF                 1324R00100007690+533811320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0008739340021870001200000310094000620009100000000000000579  X
45861448003007870GH PNWWLA 2810078700009370910100000006PAMELAS CKY PECAN SHORTBRD GF PAMELA PECAN SHRTB 7.25 OZ    7.25OZ02       1000154102017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   00000037400374010303394NN20171209 N00006000154100000000000000000000000000203020171125201712220043583000000000000000000000000000000000000000000000000000000000000000000000000000100004490+42800D2017111120171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00100004190+270491320R00100004390+303720000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0100937091010070000385000300064000790010200000000000000449  X
45861448003010410GH PNWWLA 2810104100007349015216000050PROMISED LAND CHANUKAH CANDLE PROM CHANUKAH CAND   44 CT   44.00CT17       1000477002017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   0000006700067004       NN20171209 N00050000477000000000000000000000000000000000000000000000000000000003850201710212017122200731370000000000000000000000000000000000000000000000100001850+48400D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00000000000+000001320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000734901521600002100000670085000850016000000000000000185  X
45861448003020040GH PNWWLA 2810200400007349013187500012YEHUDA MATZO SQUARES GF       YEHUDA GF MTZO SQR 10.5 OZ   10.50OZ02       1000573002017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   0000006700067010       NN20171209 N00012000573000000000000000000000000000000000000000000000000000000005010201710212017122200731370000000000000000000000000000000000000000000000100008190+41700D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00100009690+440061320R00100007990+320920000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000734901318750000850001050077001050022500000000000000819  X
45861448003022450GH PNWWLC 0810224500001862703000300012KASHI GRANOLA BAR TRAIL MIX   KASHI GRANOLA BAR   7.4 OZ    7.40OZ02       1000390802017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000NAN 81623037800378010301505NN20171209 N00012000390800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100004390+25800 0000000000000000000000000000000000000000000000000+00000000000000N    2SF                 1324R00100002990-287071320R00100004290+102950000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000186270300030000765000590064001160013700000000000000439  X
45861448003026340GH PNWWLA 2810263400007270000738200024MANISCH LENTIL SOUP MIX       MANIS LENTIL SP MX    6 OZ    6.00OZ02       1000272302017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   00000067000670190302078NN20171209 N00024000272300000000000000000000000000460020171021201712220066494000000000000000000000000000000000000000000000000000000000000000000000000000100002150+47200D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00000000000+000001320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000727000073820000955000270049000960009800000000000000215  X
45861448003026360GH PNWWLI 1000000000000827400700000024RDS ENRGY DRNK                RDS ENRGY DRNK    10.5OZ      0.00          24000280002017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   0000003560035602         20171209 N00024000280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100002290+49100 0000000000000000000000000000000000000000000000000+00000000000000N                        1324R00100001690+184171320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000000000000000000000000000000000000000000000000000000229  X
45861448003026420GH PNWWLA 2810264200007270010442500024MANISCH SOUP MX HEARTY BEAN   MANIS SP/MIX BEAN     6 OZ    6.00OZ02       1000272302017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   00000067000670190302078NN20171209 N00024000272300000000000000000000000000460020171021201712220066494000000000000000000000000000000000000000000000000000000000000000000000000000100002150+47200D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00000000000+000001320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000727001044250000970000310051001010010300000000000000215  X
45861448003026450GH PNWWLA 2810264500007270010188200012MANISCH CHICKEN BROTH         MANIS CHIX BROTH   10.5 OZ   10.50OZ02       1000158402017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   0000006700067019       NN20171209 N00012000158400000000000000000000000000189020171021201712220066494000000000000000000000000000000000000000000000000000000000000000000000000000100002650+50200D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00000000000+000001320R00100002190+270930000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000727001018820000985000230044000820010900000000000000265  X
