 458724587220171128          1        +0000000000+0000000000+0000010724+0002352798+0001436039+0003799561+0000000000+0000000000
 458724587220171128FC-002339021711274LPF20171127+0000010724LATE PAYMENT FEE        00                     NEW SEASONS MARKET, LLC-FISHERS  CGC MISC
 45872458722017112801270157  21711173INV20171130+0000034006BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC DAPO
 45872458722017112801270158  21711173INV20171130+0000010440BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC DAPO
 45872458722017112801270640  21711213INV20171130+0000013445BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC DAPO
 45872458722017112801270641  21711213INV20171130+0000006486BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC DAPO
 45872458722017112801270642  21711213INV20171130+0000001476BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC DAPO
 45872458722017112801224179  21711173INV20171130+0000073604BILLING - DELI C        222000        0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC DLPO
 45872458722017112801224180  21711173INV20171130+0000093657BILLING - DELI G        222008        0   20080NEW SEASONS MARKET, LLC-FISHERS  CGC DLPO
 45872458722017112801224181  21711173INV20171130+0000023856BILLING - DELI M        222009        0   20090NEW SEASONS MARKET, LLC-FISHERS  CGC DLPO
 458724587220171128NB0073623921711213INV20171130+000000687401221121 - DELIVERY FEE 222020ERY FEE 0   20200NEW SEASONS MARKET, LLC-FISHERS  CGC DLPO
 45872458722017112801225189  21711213INV20171130+0000468879BILLING - DELI C        222000        0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC DLPO
 45872458722017112801225190  21711213INV20171130+0000110028BILLING - DELI G        222008        0   20080NEW SEASONS MARKET, LLC-FISHERS  CGC DLPO
 45872458722017112801225191  21711213INV20171130+0000042935BILLING - DELI M        222009        0   20090NEW SEASONS MARKET, LLC-FISHERS  CGC DLPO
 45872458722017112802222265  21711173INV20171130+0000009234MC SALES SEATTLE DELI   224000 DELI   0   40000NEW SEASONS MARKET, LLC-FISHERS  CGC DLWA
 45872458722017112802224439  21711213INV20171130+0000001472MC SALES SEATTLE DELI   224000 DELI   0   40000NEW SEASONS MARKET, LLC-FISHERS  CGC DLWA
 45872458722017112801216471  21711173INV20171130+0000035580BILLING - FROZ FOOD     212000OOD     0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC FFPO
 45872458722017112801216527  21711183INV20171130+0000008358BILLING - FROZ FOOD     212000OOD     0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC FFPO
 458724587220171128NB0073623821711213INV20171130+000002022301211121 - DELIVERY FEE 212020ERY FEE 0   20200NEW SEASONS MARKET, LLC-FISHERS  CGC FFPO
 45872458722017112801216953  21711213INV20171130+0000040136BILLING - FROZ FOOD     212000OOD     0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC FFPO
 4587245872201711283002007   21711083C/M20171130-0000064991ADJ GROC 1206758        202120        0   21200NEW SEASONS MARKET, LLC-FISHERS  CGC GRPO
 45872458722017112801201457  21711173INV20171130+0000350400BILLING - GROC          202000        0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC GRPO
 45872458722017112801201458  21711173INV20171130+0000006559BILLING - INSTITUT      202004UT      0   20040NEW SEASONS MARKET, LLC-FISHERS  CGC GRPO
 45872458722017112801201459  21711173INV20171130+0000011966BILLING - REPACK        202005        0   20050NEW SEASONS MARKET, LLC-FISHERS  CGC GRPO
 458724587220171128NB0073623721711213INV20171130+000002331201201121 - DELIVERY FEE 202020ERY FEE 0   20200NEW SEASONS MARKET, LLC-FISHERS  CGC GRPO
 45872458722017112801202894  21711213INV20171130+0000412482BILLING - GROC          202000        0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC GRPO
 45872458722017112801202895  21711213INV20171130+0000009458BILLING - INSTITUT      202004UT      0   20040NEW SEASONS MARKET, LLC-FISHERS  CGC GRPO
 45872458722017112801202896  21711213INV20171130+0000034834BILLING - REPACK        202005        0   20050NEW SEASONS MARKET, LLC-FISHERS  CGC GRPO
 45872458722017112801238922  21711173INV20171130+0000003634BILLING - HABA          232000        0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC HBPO
 458724587220171128NB0073624021711213INV20171130+000000008701231121 - DELIVERY FEE 232020ERY FEE 0   20200NEW SEASONS MARKET, LLC-FISHERS  CGC HBPO
 45872458722017112801240585  21711173INV20171130+0000003244BILLING - HDWE          242000        0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC HDPO
 458724587220171128NB0073624121711213INV20171130+000000014401241121 - DELIVERY FEE 242020ERY FEE 0   20200NEW SEASONS MARKET, LLC-FISHERS  CGC HDPO
 45872458722017112801241164  21711213INV20171130+0000016849BILLING - HDWE          242000        0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC HDPO
 45872458722017112801313692  21711173INV20171130+0000078803BILLING - PNW ICE CREAM 312000E CREAM 0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC ICPO
 458724587220171128NB0073624321711213INV20171130+000000232501311121 - DELIVERY FEE 312020ERY FEE 0   20200NEW SEASONS MARKET, LLC-FISHERS  CGC ICPO
 45872458722017112801313915  21711213INV20171130+0000015042BILLING - PNW ICE CREAM 312000E CREAM 0   20000NEW SEASONS MARKET, LLC-FISHERS  CGC ICPO
 458724587220171128NB0072818221711163INV20171130+0000005200CM - PNW-Retail Pricing 002216Pricing 0   22160NEW SEASONS MARKET, LLC-FISHERS  CGC MISC
 45872458722017112801252399  21711213INV20171130+0000008207MEAT FROZ               252030        0   20300NEW SEASONS MARKET, LLC-FISHERS  CGC MTPO
 45872458722017112801252402  21711213INV20171130+0000010157MEAT INVOICE            252030        0   20300NEW SEASONS MARKET, LLC-FISHERS  CGC MTPO
