 458734587320171128          1        +0000000000+0000000000+0000020694+0003920079+0002331152+0006271925+0000000000+0000000000
 458734587320171128FC-002339121711274LPF20171127+0000020694LATE PAYMENT FEE        00                     NEW SEASONS MARKET, LLC-WILLIAMS CGC MISC
 45873458732017112801279796  21711153INV20171130+0000005426BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC DAPO
 45873458732017112801279797  21711153INV20171130+0000008463BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC DAPO
 45873458732017112801270149  21711173INV20171130+0000018262BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC DAPO
 45873458732017112801270150  21711173INV20171130+0000021909BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC DAPO
 45873458732017112801270501  21711203INV20171130+0000047046BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC DAPO
 45873458732017112801270502  21711203INV20171130+0000009018BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC DAPO
 45873458732017112801223360  21711153INV20171130+0000071457BILLING - DELI C        222000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC DLPO
 45873458732017112801223361  21711153INV20171130+0000026575BILLING - DELI G        222008        0   20080NEW SEASONS MARKET, LLC-WILLIAMS CGC DLPO
 45873458732017112801223362  21711153INV20171130+0000019923BILLING - DELI M        222009        0   20090NEW SEASONS MARKET, LLC-WILLIAMS CGC DLPO
 45873458732017112801224154  21711173INV20171130+0000122609BILLING - DELI C        222000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC DLPO
 45873458732017112801224155  21711173INV20171130+0000180131BILLING - DELI G        222008        0   20080NEW SEASONS MARKET, LLC-WILLIAMS CGC DLPO
 45873458732017112801224156  21711173INV20171130+0000028824BILLING - DELI M        222009        0   20090NEW SEASONS MARKET, LLC-WILLIAMS CGC DLPO
 45873458732017112801224158  21711173INV20171130+0000002137BILLING - DELI C        222000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC DLPO
 45873458732017112801224912  21711203INV20171130+0000049242BILLING - DELI C        222000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC DLPO
 45873458732017112801224913  21711203INV20171130+0000423925BILLING - DELI G        222008        0   20080NEW SEASONS MARKET, LLC-WILLIAMS CGC DLPO
 45873458732017112801224914  21711203INV20171130+0000040367BILLING - DELI M        222009        0   20090NEW SEASONS MARKET, LLC-WILLIAMS CGC DLPO
 45873458732017112801224917  21711203INV20171130+0000007105BILLING - DELI C        226000        0   60000NEW SEASONS MARKET, LLC-WILLIAMS CGC DLPO
 458734587320171128NB0073624621711213INV20171130+000000999501221121 - DELIVERY FEE 222020ERY FEE 0   20200NEW SEASONS MARKET, LLC-WILLIAMS CGC DLPO
 45873458732017112802221169  21711153INV20171130+0000011655MC SALES SEATTLE DELI   224000 DELI   0   40000NEW SEASONS MARKET, LLC-WILLIAMS CGC DLWA
 45873458732017112802221170  21711153INV20171130+0000006470MC SALES SEATTLE DELI   224000 DELI   0   40000NEW SEASONS MARKET, LLC-WILLIAMS CGC DLWA
 45873458732017112802222333  21711173INV20171130+0000006470MC SALES SEATTLE DELI   224000 DELI   0   40000NEW SEASONS MARKET, LLC-WILLIAMS CGC DLWA
 45873458732017112802223704  21711203INV20171130+0000036307MC SALES SEATTLE DELI   224000 DELI   0   40000NEW SEASONS MARKET, LLC-WILLIAMS CGC DLWA
 45873458732017112802223705  21711203INV20171130+0000025880MC SALES SEATTLE DELI   224000 DELI   0   40000NEW SEASONS MARKET, LLC-WILLIAMS CGC DLWA
 45873458732017112801216103  21711153INV20171130+0000007358BILLING - FROZ FOOD     212000OOD     0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC FFPO
 45873458732017112801216463  21711173INV20171130+0000024533BILLING - FROZ FOOD     212000OOD     0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC FFPO
 45873458732017112801216817  21711203INV20171130+0000100134BILLING - FROZ FOOD     212000OOD     0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC FFPO
 458734587320171128NB0073624521711213INV20171130+000000279001211121 - DELIVERY FEE 212020ERY FEE 0   20200NEW SEASONS MARKET, LLC-WILLIAMS CGC FFPO
 45873458732017112802217542  21711203INV20171130+0000003403MC SALES SEATTLE FROZEN 214000 FROZEN 0   40000NEW SEASONS MARKET, LLC-WILLIAMS CGC FFWA
 45873458732017112802217543  21711203INV20171130+0000014767MC SALES SEATTLE FROZEN 214000 FROZEN 0   40000NEW SEASONS MARKET, LLC-WILLIAMS CGC FFWA
 45873458732017112801200405  21711153INV20171130+0000330808BILLING - GROC          202000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC GRPO
 45873458732017112801200406  21711153INV20171130+0000003115BILLING - INSTITUT      202004UT      0   20040NEW SEASONS MARKET, LLC-WILLIAMS CGC GRPO
 45873458732017112801200407  21711153INV20171130+0000026212BILLING - REPACK        202005        0   20050NEW SEASONS MARKET, LLC-WILLIAMS CGC GRPO
 45873458732017112801201437  21711173INV20171130+0000295450BILLING - GROC          202000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC GRPO
 45873458732017112801201438  21711173INV20171130+0000001261BILLING - GROC          202000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC GRPO
 45873458732017112801201439  21711173INV20171130+0000006219BILLING - INSTITUT      202004UT      0   20040NEW SEASONS MARKET, LLC-WILLIAMS CGC GRPO
 45873458732017112801201440  21711173INV20171130+0000004735BILLING - REPACK        202005        0   20050NEW SEASONS MARKET, LLC-WILLIAMS CGC GRPO
 45873458732017112801202364  21711203INV20171130+0000784589BILLING - GROC          202000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC GRPO
 45873458732017112801202365  21711203INV20171130+0000001417BILLING - GROC          202000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC GRPO
 45873458732017112801202366  21711203INV20171130+0000018983BILLING - INSTITUT      202004UT      0   20040NEW SEASONS MARKET, LLC-WILLIAMS CGC GRPO
 45873458732017112801202367  21711203INV20171130+0000002461BILLING - REPACK        202005        0   20050NEW SEASONS MARKET, LLC-WILLIAMS CGC GRPO
 458734587320171128NB0073624421711213INV20171130+000003137401201121 - DELIVERY FEE 202020ERY FEE 0   20200NEW SEASONS MARKET, LLC-WILLIAMS CGC GRPO
 45873458732017112801238689  21711153INV20171130+0000008180BILLING - HABA          232000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC HBPO
 45873458732017112801238916  21711173INV20171130+0000038863BILLING - HABA          232000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC HBPO
 45873458732017112801238917  21711173INV20171130+0000001446BILLING - HABA          232000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC HBPO
 45873458732017112801239205  21711203INV20171130+0000074115BILLING - HABA          232000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC HBPO
 458734587320171128NB0073624721711213INV20171130+000000071301231121 - DELIVERY FEE 232020ERY FEE 0   20200NEW SEASONS MARKET, LLC-WILLIAMS CGC HBPO
 45873458732017112801240580  21711173INV20171130+0000011707BILLING - HDWE          242000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC HDPO
 45873458732017112801240960  21711203INV20171130+0000026865BILLING - HDWE          242000        0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC HDPO
 458734587320171128NB0073624821711213INV20171130+000000028001241121 - DELIVERY FEE 242020ERY FEE 0   20200NEW SEASONS MARKET, LLC-WILLIAMS CGC HDPO
 45873458732017112801313498  21711153INV20171130+0000023406BILLING - PNW ICE CREAM 312000E CREAM 0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC ICPO
 45873458732017112801313687  21711173INV20171130+0000026562BILLING - PNW ICE CREAM 312000E CREAM 0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC ICPO
 45873458732017112801313843  21711203INV20171130+0000097279BILLING - PNW ICE CREAM 312000E CREAM 0   20000NEW SEASONS MARKET, LLC-WILLIAMS CGC ICPO
 458734587320171128NB0073625021711213INV20171130+000000194601311121 - DELIVERY FEE 312020ERY FEE 0   20200NEW SEASONS MARKET, LLC-WILLIAMS CGC ICPO
 458734587320171128NB0072818321711163INV20171130+0000005200CM - PNW-Retail Pricing 002216Pricing 0   22160NEW SEASONS MARKET, LLC-WILLIAMS CGC MISC
 45873458732017112801251149  21711173INV20171130+0000003646MEAT INVOICE            252030        0   20300NEW SEASONS MARKET, LLC-WILLIAMS CGC MTPO
 45873458732017112801252042  21711203INV20171130+0000048309MEAT INVOICE            252030        0   20300NEW SEASONS MARKET, LLC-WILLIAMS CGC MTPO
 4587345873201711282441476   21711183INV20171130+0000001513B/T CHARLIE PRODUCE     286254UCE     0   62540NEW SEASONS MARKET, LLC-WILLIAMS CGC PRPO
 4587345873201711282441477   21711183INV20171130+0000023299B/T CHARLIE PRODUCE     286254UCE     0   62540NEW SEASONS MARKET, LLC-WILLIAMS CGC PRPO
 4587345873201711282443032   21711213INV20171130+0000019941B/T CHARLIE PRODUCE     286254UCE     0   62540NEW SEASONS MARKET, LLC-WILLIAMS CGC PRPO
 45873458732017112801250034  21711153INV20171130+0000013670FROZEN FOOD SERVICE     252032ICE     0   20320NEW SEASONS MARKET, LLC-WILLIAMS CGC SDPO
 45873458732017112801251134  21711173INV20171130+0000036297BILLING - SERV DELI     252032ELI     1   20321NEW SEASONS MARKET, LLC-WILLIAMS CGC SDPO
 45873458732017112801252056  21711203INV20171130+0000004087SERV-BAK FRZN FD SVC    252032 SVC    7   20327NEW SEASONS MARKET, LLC-WILLIAMS CGC SDPO
 458734587320171128NB0073177121711173INV20171130+00000085000583794 - INTERACTIVE OR002374CTIVE OR0   23740NEW SEASONS MARKET, LLC-WILLIAMS CGC SERV
