 458764587620171128          1        +0000000000+0000000000+0000017868+0003652561+0002123976+0005794405+0000000000+0000000000
 458764587620171128FC-002339221711274LPF20171127+0000017868LATE PAYMENT FEE        00                     NEW SEASONS MARKET, LLC-GRANT PK CGC MISC
 458764587620171128NC0022341821711203C/M20171130-0000005000851117 - PALLETS - PLAST002525 - PLAST0   25250NEW SEASONS MARKET, LLC-GRANT PK CGC CONT
 458764587620171128NB0073586021711203INV20171130+0000004550951117 - PALLETS - REGUL002489 - REGUL0   24890NEW SEASONS MARKET, LLC-GRANT PK CGC COPO
 45876458762017112801270159  21711173INV20171130+0000027886BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC DAPO
 45876458762017112801270643  21711213INV20171130+0000037269BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC DAPO
 45876458762017112801270644  21711213INV20171130+0000015030BILLING - DARY          272000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC DAPO
 45876458762017112801224185  21711173INV20171130+0000135879BILLING - DELI C        222000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 45876458762017112801224186  21711173INV20171130+0000374288BILLING - DELI G        222008        0   20080NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 45876458762017112801224187  21711173INV20171130+0000039361BILLING - DELI M        222009        0   20090NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 45876458762017112801224188  21711173INV20171130+0000008551BILLING - DELI C        222000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 458764587620171128NB0073625321711213INV20171130+000000637901221121 - DELIVERY FEE 222020ERY FEE 0   20200NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 45876458762017112801225194  21711213INV20171130+0000214825BILLING - DELI C        222000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 45876458762017112801225195  21711213INV20171130+0000326912BILLING - DELI G        222008        0   20080NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 45876458762017112801225196  21711213INV20171130+0000012986BILLING - DELI M        222009        0   20090NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 45876458762017112801225198  21711213INV20171130+0000004276BILLING - DELI C        222000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC DLPO
 45876458762017112802222334  21711173INV20171130+0000006627MC SALES SEATTLE DELI   224000 DELI   0   40000NEW SEASONS MARKET, LLC-GRANT PK CGC DLWA
 45876458762017112802222335  21711173INV20171130+0000002337MC SALES SEATTLE DELI   224000 DELI   0   40000NEW SEASONS MARKET, LLC-GRANT PK CGC DLWA
 45876458762017112801216473  21711173INV20171130+0000045077BILLING - FROZ FOOD     212000OOD     0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC FFPO
 458764587620171128NB0073625221711213INV20171130+000000144501211121 - DELIVERY FEE 212020ERY FEE 0   20200NEW SEASONS MARKET, LLC-GRANT PK CGC FFPO
 45876458762017112801216955  21711213INV20171130+0000033462BILLING - FROZ FOOD     212000OOD     0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC FFPO
 45876458762017112801201460  21711173INV20171130+0000531903BILLING - GROC          202000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC GRPO
 45876458762017112801201461  21711173INV20171130+0000001873BILLING - INSTITUT      202004UT      0   20040NEW SEASONS MARKET, LLC-GRANT PK CGC GRPO
 45876458762017112801201462  21711173INV20171130+0000045033BILLING - REPACK        202005        0   20050NEW SEASONS MARKET, LLC-GRANT PK CGC GRPO
 458764587620171128NB0073625121711213INV20171130+000002098901201121 - DELIVERY FEE 202020ERY FEE 0   20200NEW SEASONS MARKET, LLC-GRANT PK CGC GRPO
 45876458762017112801202897  21711213INV20171130+0000757919BILLING - GROC          202000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC GRPO
 45876458762017112801202898  21711213INV20171130+0000008845BILLING - INSTITUT      202004UT      0   20040NEW SEASONS MARKET, LLC-GRANT PK CGC GRPO
 45876458762017112801202899  21711213INV20171130+0000016463BILLING - REPACK        202005        0   20050NEW SEASONS MARKET, LLC-GRANT PK CGC GRPO
 45876458762017112801238923  21711173INV20171130+0000049802BILLING - HABA          232000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC HBPO
 45876458762017112801238924  21711173INV20171130+0000005389BILLING - HABA          232000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC HBPO
 458764587620171128NB0073625421711213INV20171130+000000013701231121 - DELIVERY FEE 232020ERY FEE 0   20200NEW SEASONS MARKET, LLC-GRANT PK CGC HBPO
 45876458762017112801239364  21711213INV20171130+0000009137BILLING - HABA          232000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC HBPO
 45876458762017112801240586  21711173INV20171130+0000036647BILLING - HDWE          242000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC HDPO
 458764587620171128NB0073625521711213INV20171130+000000018501241121 - DELIVERY FEE 242020ERY FEE 0   20200NEW SEASONS MARKET, LLC-GRANT PK CGC HDPO
 45876458762017112801241165  21711213INV20171130+0000005860BILLING - HDWE          242000        0   20000NEW SEASONS MARKET, LLC-GRANT PK CGC HDPO
